name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Астана, Қазақстан",2019-12-01,-6.1,-21,-15.6,-10.2,-28.7,-22,-19.2,75.1,0,0,0,,0,16,18.7,14.4,88.3,1031.9,0,8.3,56.4,4.9,3,,2019-12-01T08:55:11,2019-12-01T17:10:45,0.15,Clear,Clear conditions throughout the day.,clear-day,"35283099999,35188099999,UACC"
"Астана, Қазақстан",2019-12-02,-4.2,-18,-11.4,-8.5,-27.3,-17.5,-14.7,77.3,0,0,0,,0,16.4,22,18,135.8,1021.4,47.1,10,48.3,4.1,2,,2019-12-02T08:56:34,2019-12-02T17:10:09,0.18,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"35283099999,35188099999,UACC"
"Астана, Қазақстан",2019-12-03,-1,-10,-4,-2,-14.3,-8.9,-5.2,91.7,0,0,0,,0,16.3,24.1,25.2,207.7,1022.1,83.7,7.1,29.4,2.7,2,,2019-12-03T08:57:55,2019-12-03T17:09:35,0.21,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"35283099999,35188099999,UACC"
"Астана, Қазақстан",2019-12-04,2.5,-3,-0.1,-0.1,-7.4,-3.7,-1.5,90.3,0.497,100,8.33,"rain,snow",0,15.7,25.9,18,115.1,1022.3,88,8,32.2,2.8,1,,2019-12-04T08:59:14,2019-12-04T17:09:05,0.25,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"35283099999,35188099999,UACC"
"Астана, Қазақстан",2019-12-05,2.7,-2,0.2,0.7,-6.7,-4.6,-1.1,91.4,0,0,0,"rain,snow",0.2,13.8,32,32.4,208.3,1013.8,85.1,7.4,30.7,2.8,2,,2019-12-05T09:00:31,2019-12-05T17:08:37,0.28,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"35283099999,35188099999,UACC"
"Астана, Қазақстан",2019-12-06,-2.4,-9,-6.3,-6.8,-18,-14.7,-8.1,87.1,7.856,100,8.33,snow,1.3,16.5,72,54,239.6,1018.8,83.1,3.6,36.5,3.3,2,,2019-12-06T09:01:46,2019-12-06T17:08:13,0.31,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,snow,"35283099999,35188099999,UACC"
"Астана, Қазақстан",2019-12-07,-1,-4,-2.5,-8,-13.3,-10.6,-3.7,91.4,4.653,100,8.33,"rain,snow",1,18,68.4,50.4,238.7,1021.2,98.8,1.9,13.9,1.1,1,,2019-12-07T09:02:59,2019-12-07T17:07:52,0.34,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,snow,"35283099999,35188099999,UACC"
"Астана, Қазақстан",2019-12-08,-1,-4,-2.4,-6.9,-10.6,-8.8,-4,89.2,0.508,100,8.33,"rain,snow",0,19.1,47.5,39.6,240.3,1025.1,99.5,8.7,16.6,1.4,1,,2019-12-08T09:04:09,2019-12-08T17:07:35,0.37,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,snow,"35283099999,35188099999,UACC"
"Астана, Қазақстан",2019-12-09,-3.6,-9,-5.3,-7.3,-12.9,-9.9,-5.9,95.4,0.025,100,4.17,snow,0,19.1,24.8,21.6,232.3,1025.9,100,2.7,29,2.5,1,,2019-12-09T09:05:17,2019-12-09T17:07:20,0.4,"Snow, Overcast",Cloudy skies throughout the day with early morning snow.,snow,"35283099999,35188099999,UACC"
"Астана, Қазақстан",2019-12-10,-7,-12,-9.5,-7,-12,-9.5,-10.7,91,0.868,100,8.33,snow,0,19.4,11.5,3.7,181.9,1025.2,95.3,1.5,32,2.7,2,,2019-12-10T09:06:23,2019-12-10T17:07:09,0.44,"Snow, Overcast",Cloudy skies throughout the day with snow.,snow,"35283099999,35188099999,UACC"
