name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Усть-Каменогорск, Қазақстан",2018-12-01,-13,-16,-14.9,-22.4,-25.2,-24,-17.6,79.6,6,100,8.33,snow,3.3,4.3,40.7,31.9,204.2,1036.2,94.8,6,41.3,3.6,2,,2018-12-01T08:05:40,2018-12-01T16:30:55,0.78,"Snow, Overcast",Cloudy skies throughout the day with snow.,snow,"36197099999,UASK,36208099999,35067599999"
"Усть-Каменогорск, Қазақстан",2018-12-02,-12,-23,-15.4,-12,-25.8,-18.8,-17.2,85.8,0.3,100,12.5,snow,25.9,16.9,32.8,21.5,106.1,1038.5,84,5.7,45,3.9,2,,2018-12-02T08:06:59,2018-12-02T16:30:22,0.82,"Snow, Partially cloudy",Partly cloudy throughout the day with early morning snow.,snow,"36197099999,UASK,36208099999,35067599999"
"Усть-Каменогорск, Қазақстан",2018-12-03,-9,-23,-14.7,-10,-23,-16.7,-17.7,78.5,0.2,100,8.33,snow,0,10.8,23,21.2,121.4,1037.2,97.5,5.8,43.4,3.8,2,,2018-12-03T08:08:17,2018-12-03T16:29:52,0.86,"Snow, Overcast",Cloudy skies throughout the day with late afternoon snow.,snow,"36197099999,UASK,36208099999,35067599999"
"Усть-Каменогорск, Қазақстан",2018-12-04,-10,-24,-15.7,-10.1,-24,-17.5,-17.5,85.9,0.8,100,4.17,snow,0.4,3.1,19.8,10.9,356.6,1040.2,59.3,5.7,48.7,4.2,2,,2018-12-04T08:09:33,2018-12-04T16:29:25,0.89,"Snow, Partially cloudy",Clearing in the afternoon with afternoon snow.,snow,"36197099999,UASK,36208099999,35067599999"
"Усть-Каменогорск, Қазақстан",2018-12-05,-18,-26,-22.4,-18,-32.7,-23.7,-24.8,80.9,0,0,0,snow,26,17.2,13.3,7.2,33.4,1044.8,67,4.7,53,4.8,3,,2018-12-05T08:10:47,2018-12-05T16:29:01,0.93,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"36197099999,UASK,36208099999,35067599999"
"Усть-Каменогорск, Қазақстан",2018-12-06,-19.8,-30,-25.4,-19.8,-31.6,-25.7,-28,78.8,0,0,0,,0,26,13,7.2,39.2,1039.2,68.7,1.5,57.9,5,3,,2018-12-06T08:11:58,2018-12-06T16:28:40,0.96,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"36197099999,UASK,36208099999,35067599999"
"Усть-Каменогорск, Қазақстан",2018-12-07,-16.9,-29,-23.5,-16.9,-29,-23.7,-26.1,79.2,0,0,0,,0,26,12.2,7.2,87.3,1034.6,84.5,1.7,57.1,4.9,3,,2018-12-07T08:13:08,2018-12-07T16:28:22,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"36197099999,UASK,36208099999,35067599999"
"Усть-Каменогорск, Қазақстан",2018-12-08,-16.9,-26.9,-23.1,-16.9,-26.9,-23.1,-25.7,79.5,0,0,0,,0,26,12.2,3.6,14.4,1033.1,63.7,1.1,56.7,4.9,3,,2018-12-08T08:14:16,2018-12-08T16:28:07,0.03,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"36197099999,UASK,36208099999,35067599999"
"Усть-Каменогорск, Қазақстан",2018-12-09,-14.9,-24,-21.1,-17,-29.1,-22.3,-23.3,82.9,0,0,0,,0,11.5,10.8,7.2,16.1,1031.4,65,1.2,54.9,4.8,3,,2018-12-09T08:15:21,2018-12-09T16:27:56,0.06,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"36197099999,UASK,36208099999,35067599999"
"Усть-Каменогорск, Қазақстан",2018-12-10,-14.8,-25,-21,-14.8,-25,-21,-23.2,82.5,0,0,0,,0,2.7,14.4,3.7,61.6,1029.6,63.4,3.2,55.2,4.8,3,,2018-12-10T08:16:25,2018-12-10T16:27:48,0.1,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"36197099999,UASK,36208099999,35067599999"
"Усть-Каменогорск, Қазақстан",2018-12-11,-10.9,-24,-18,-12.9,-24,-18.9,-20,84.1,0,0,0,snow,25,16.5,18.7,7.2,353.1,1030.3,81.2,4,46.4,3.8,2,,2018-12-11T08:17:25,2018-12-11T16:27:43,0.13,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"36197099999,UASK,36208099999,35067599999"
"Усть-Каменогорск, Қазақстан",2018-12-12,-3.9,-11,-6.8,-3.9,-12.9,-8.4,-9.5,81.7,0,0,0,,0,24.1,13,10.8,351.1,1029.2,92.2,8.1,30.3,2.6,2,,2018-12-12T08:18:24,2018-12-12T16:27:41,0.16,Overcast,Cloudy skies throughout the day.,cloudy,"36197099999,UASK,36208099999,35067599999"
"Усть-Каменогорск, Қазақстан",2018-12-13,-4,-8,-5.3,-4,-13.1,-7.2,-8.5,78.6,0,0,0,,0,10.9,14,10.8,357,1030.6,99.1,9.7,33,2.8,2,,2018-12-13T08:19:20,2018-12-13T16:27:42,0.19,Overcast,Cloudy skies throughout the day.,cloudy,"36197099999,UASK,36208099999,35067599999"
"Усть-Каменогорск, Қазақстан",2018-12-14,-4,-9,-6.7,-4,-13.1,-7.8,-8.8,85.5,0.7,100,8.33,snow,0,3.1,14.8,10.8,115.4,1031.4,88.1,6.9,38.1,3.3,2,,2018-12-14T08:20:13,2018-12-14T16:27:46,0.22,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,snow,"36197099999,UASK,36208099999,35067599999"
"Усть-Каменогорск, Қазақстан",2018-12-15,-5.9,-15.9,-10.3,-5.9,-20.3,-12,-12.5,84.8,0,0,0,snow,24,16.2,17.6,10.8,63.2,1031,59.6,8.7,50.7,4.2,3,,2018-12-15T08:21:04,2018-12-15T16:27:54,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"36197099999,UASK,36208099999,35067599999"
