name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Усть-Каменогорск, Қазақстан",2020-12-01,-12,-24,-18.3,-15,-28.1,-19.6,-20.3,84.5,0,0,0,,0,11,8.6,10.8,327.6,1047.1,67.4,3.4,53.3,4.7,3,,2020-12-01T08:06:22,2020-12-01T16:30:38,0.53,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"36197099999,UASK,36208099999,35067599999"
"Усть-Каменогорск, Қазақстан",2020-12-02,-16,-25,-20.3,-16,-25,-20.7,-22.6,82.1,0,0,0,,0,11,7.2,7.2,45.5,1044.5,57.1,3.2,60.5,5.3,3,,2020-12-02T08:07:41,2020-12-02T16:30:06,0.56,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"36197099999,UASK,36208099999,35067599999"
"Усть-Каменогорск, Қазақстан",2020-12-03,-17,-26,-22.4,-17,-26,-22.4,-24.9,80.5,0,0,0,,0,11,9,3.7,357.1,1036.9,89.1,0.8,63.1,5.4,3,,2020-12-03T08:08:57,2020-12-03T16:29:38,0.6,Partially cloudy,Partly cloudy throughout the day.,fog,"36197099999,UASK,36208099999,35067599999"
"Усть-Каменогорск, Қазақстан",2020-12-04,-15,-26,-22.2,-16.8,-26,-22.6,-24.6,80.3,0,0,0,,0,11,10.8,7.2,327.3,1031,72.6,0.9,63.6,5.4,3,,2020-12-04T08:10:12,2020-12-04T16:29:12,0.63,Partially cloudy,Partly cloudy throughout the day.,fog,"36197099999,UASK,36208099999,35067599999"
"Усть-Каменогорск, Қазақстан",2020-12-05,-12.9,-24,-20.6,-12.9,-24,-20.8,-22.9,81.7,0,0,0,,0,10.4,13,7.2,27.6,1034,55.1,1.5,60.6,5.4,3,,2020-12-05T08:11:25,2020-12-05T16:28:50,0.67,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"36197099999,UASK,36208099999,35067599999"
"Усть-Каменогорск, Қазақстан",2020-12-06,-15,-24.9,-20.9,-15,-24.9,-20.9,-23.2,81.7,0,0,0,,0,10,7.2,3.7,6.8,1039.1,83.6,1,59.5,5.1,3,,2020-12-06T08:12:36,2020-12-06T16:28:31,0.7,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"36197099999,UASK,36208099999,35067599999"
"Усть-Каменогорск, Қазақстан",2020-12-07,-16.9,-23.9,-21.4,-17,-23.9,-21.6,-23.8,80.8,0,0,0,snow,11,10.6,7.6,7.2,76.2,1035.3,72.9,0.8,60.4,5.3,3,,2020-12-07T08:13:45,2020-12-07T16:28:14,0.74,Partially cloudy,Partly cloudy throughout the day.,fog,"36197099999,UASK,36208099999,remote,35067599999"
"Усть-Каменогорск, Қазақстан",2020-12-08,-11,-22.9,-16.5,-11.9,-22.9,-17.2,-18.4,84.9,0,0,0,,0,10.5,18.7,7.2,43.3,1032.4,91,1.6,57.2,4.9,3,,2020-12-08T08:14:51,2020-12-08T16:28:01,0.75,Overcast,Cloudy skies throughout the day.,cloudy,"36197099999,UASK,36208099999,35067599999"
"Усть-Каменогорск, Қазақстан",2020-12-09,-6,-8,-6.6,-7,-14.3,-11.5,-7.9,90.7,3,100,8.33,snow,5.6,16.2,21.6,21.6,169.5,1029.5,98.1,2.4,23,1.9,1,,2020-12-09T08:15:56,2020-12-09T16:27:52,0.81,"Snow, Overcast",Cloudy skies throughout the day with snow.,snow,"36197099999,UASK,36208099999,35067599999"
"Усть-Каменогорск, Қазақстан",2020-12-10,-8,-13,-10.3,-9,-16.4,-11.8,-11.5,90.5,2.4,100,8.33,snow,1.5,28.3,23,7.3,197.1,1030.6,89.4,4.5,42.1,3.6,2,,2020-12-10T08:16:57,2020-12-10T16:27:45,0.84,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,snow,"36197099999,UASK,36208099999,35067599999"
"Усть-Каменогорск, Қазақстан",2020-12-11,-7,-17,-11.3,-8,-23.9,-15.3,-12.7,89.8,3.7,100,8.33,snow,0.9,36.3,25.2,14.4,323.1,1035.9,90.5,7.2,44.4,3.7,2,,2020-12-11T08:17:57,2020-12-11T16:27:41,0.88,"Snow, Overcast",Cloudy skies throughout the day with snow.,snow,"36197099999,UASK,36208099999,35067599999"
"Усть-Каменогорск, Қазақстан",2020-12-12,-18,-26.9,-21.8,-18,-26.9,-22.5,-24.1,81.9,0,0,0,snow,18,25.2,10.8,7.2,344.8,1039.3,91.7,3.2,47.3,4.1,2,,2020-12-12T08:18:54,2020-12-12T16:27:41,0.92,Overcast,Cloudy skies throughout the day.,cloudy,"36197099999,UASK,36208099999,35067599999"
"Усть-Каменогорск, Қазақстан",2020-12-13,-10,-17,-13.4,-11,-22.2,-15.4,-15.8,82.4,0,0,0,,0,17.6,14.8,14.4,111.8,1036.4,93.1,8.1,44.6,3.8,2,,2020-12-13T08:19:49,2020-12-13T16:27:44,0.95,Overcast,Cloudy skies throughout the day.,cloudy,"36197099999,UASK,36208099999,35067599999"
