name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Астана, Қазақстан",2021-12-01,-5.5,-22,-12.8,-9.2,-28.1,-16,-15.3,81.4,0,0,0,,0,21.5,28.4,14.4,158.6,1022.5,49.2,8.7,57,4.9,3,,2021-12-01T08:55:55,2021-12-01T17:10:26,0.9,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"35283099999,35188099999,UACC"
"Астана, Қазақстан",2021-12-02,4.4,-11.9,-1.6,0.5,-16.4,-7.2,-7,67.1,0.3,100,4.17,rain,0,20.1,47.2,36,177.2,1011.5,80,10,39.5,3.5,2,,2021-12-02T08:57:17,2021-12-02T17:09:51,0.93,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"35283099999,35188099999,UACC"
"Астана, Қазақстан",2021-12-03,3,-9.2,-2.7,-0.7,-16.9,-8.5,-4.4,88.5,0.096,100,4.17,"rain,snow",0,17.5,43.9,36,243.4,1014.7,88.2,9.1,25.1,2.2,1,,2021-12-03T08:58:37,2021-12-03T17:09:19,0.96,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain or snow.,rain,"35283099999,35188099999,UACC"
"Астана, Қазақстан",2021-12-04,-1.9,-8.1,-3.6,-2,-14.6,-9.5,-6,84.1,0,0,0,,0,17,38.9,36,225.7,1027.9,96.3,9.5,40.8,3.4,2,,2021-12-04T08:59:55,2021-12-04T17:08:50,0,Overcast,Cloudy skies throughout the day.,cloudy,"35283099999,35188099999,UACC"
"Астана, Қазақстан",2021-12-05,-2,-8,-4.4,-2.7,-11.8,-6.9,-5.8,90.3,0.193,100,4.17,snow,0,16.8,15.8,18,169.1,1022.8,99.2,5.2,30.1,2.6,1,,2021-12-05T09:01:11,2021-12-05T17:08:25,0.03,"Snow, Overcast",Cloudy skies throughout the day with afternoon snow.,snow,"35283099999,35188099999,UACC"
"Астана, Қазақстан",2021-12-06,0.1,-0.8,0,0,-6.3,-4.3,-0.9,94.1,0.396,100,4.17,"rain,snow",2,17.4,33.5,28.8,224.4,1017.9,99.8,7.3,15.5,1.1,1,,2021-12-06T09:02:25,2021-12-06T17:08:02,0.06,"Snow, Rain, Overcast",Cloudy skies throughout the day with afternoon rain or snow.,snow,"35283099999,35188099999,UACC"
"Астана, Қазақстан",2021-12-07,-1.2,-16,-7.6,-6.1,-22.7,-12.8,-9.4,87.3,1.967,100,8.33,"rain,snow",0,18.5,31.7,28.8,274.5,1024.5,96.6,8.5,27.8,2.4,1,,2021-12-07T09:03:37,2021-12-07T17:07:43,0.1,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,snow,"35283099999,35188099999,UACC,remote"
"Астана, Қазақстан",2021-12-08,-15,-28,-20.5,-15,-33.5,-24.5,-23.3,78.3,0.407,100,8.33,snow,18,18.2,14,10.8,265.8,1037.9,72.4,5.4,47.6,4.1,2,,2021-12-08T09:04:46,2021-12-08T17:07:27,0.13,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,snow,"35283099999,35188099999,UACC"
"Астана, Қазақстан",2021-12-09,-17.6,-30,-23.1,-21,-35.9,-27.9,-26,77.5,0,0,0,,0,18,16.6,10.8,188.5,1044.7,52.6,8.2,46.8,4,3,,2021-12-09T09:05:53,2021-12-09T17:07:15,0.17,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"35283099999,35188099999,UACC"
"Астана, Қазақстан",2021-12-10,-8,-23,-15.4,-11.8,-29.2,-20.8,-19.1,73.7,0,0,0,,0,18,25.2,14.4,137.2,1039.6,28,10,50.1,4.4,3,,2021-12-10T09:06:57,2021-12-10T17:07:05,0.2,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"35283099999,35188099999,UACC"
