name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Астана, Қазақстан",2023-12-01,-2,-4,-2.9,-8.6,-11.9,-10.1,-4.6,88.6,3.878,100,8.33,snow,2,3,61.2,43.2,231.7,1019.8,93,5.4,24.9,2.2,1,,2023-12-01T08:55:16,2023-12-01T17:10:45,0.62,"Snow, Overcast",Cloudy skies throughout the day with snow.,snow,"35283099999,35188099999,UACC"
"Астана, Қазақстан",2023-12-02,1.4,-4,-0.2,-3.9,-9.9,-5.9,-3.1,81.2,1.614,100,8.33,"rain,snow",0,4.4,47.9,43.2,205.5,1018.3,82.8,9.6,30.3,2.6,1,,2023-12-02T08:56:39,2023-12-02T17:10:08,0.66,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"35283099999,35188099999,UACC"
"Астана, Қазақстан",2023-12-03,2,-7,-0.6,-4.5,-16.7,-8,-2.7,85.5,6,100,4.17,"rain,snow",1.3,3.6,72,54,235.3,1004.4,99.1,6.5,18.2,1.5,1,,2023-12-03T08:58:00,2023-12-03T17:09:35,0.69,"Snow, Rain, Overcast",Cloudy skies throughout the day with afternoon rain or snow.,snow,"35283099999,35188099999,UACC"
"Астана, Қазақстан",2023-12-04,-4,-13,-9.5,-10.5,-21.2,-16.4,-12.8,77.2,0.814,100,8.33,snow,0,2.3,64.8,28.8,256.7,1023.8,82,9.4,40.6,3.5,2,,2023-12-04T08:59:19,2023-12-04T17:09:05,0.72,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,snow,"35283099999,35188099999,UACC"
"Астана, Қазақстан",2023-12-05,4,-2.5,1.7,-1.3,-8.3,-3.8,0.4,90.7,5.855,100,4.17,"rain,snow",0.3,1.5,54.4,43.2,210.8,1014,93.9,8.5,13.6,1,1,,2023-12-05T09:00:36,2023-12-05T17:08:37,0.75,"Snow, Rain, Overcast",Cloudy skies throughout the day with afternoon rain or snow.,snow,"35283099999,35188099999,UACC"
"Астана, Қазақстан",2023-12-06,3.3,-12,-3.3,-0.8,-20.7,-10,-5.1,87.2,0.1,100,4.17,snow,0.3,0.7,57.6,36,259.4,1008.2,95.6,7.5,19.9,1.7,1,,2023-12-06T09:01:51,2023-12-06T17:08:13,0.78,"Snow, Overcast",Cloudy skies throughout the day with afternoon snow.,snow,"35283099999,35188099999,UACC,remote"
"Астана, Қазақстан",2023-12-07,-12.8,-21,-17.9,-20.8,-30.1,-25.7,-20.8,78.5,0.993,100,4.17,snow,0,1.6,43.6,21.6,297.1,1028.3,56.1,9.5,48.6,4.3,2,,2023-12-07T09:03:03,2023-12-07T17:07:53,0.82,"Snow, Partially cloudy",Partly cloudy throughout the day with early morning snow.,snow,"35283099999,35188099999,UACC"
"Астана, Қазақстан",2023-12-08,-20.5,-29,-26.1,-27.2,-39.9,-35.7,-29.2,75.4,0,0,0,,0,2.1,25.9,18,55.3,1035.1,15.1,9.8,51.3,4.4,3,,2023-12-08T09:04:14,2023-12-08T17:07:35,0.85,Clear,Clear conditions throughout the day.,clear-day,"35283099999,35188099999,UACC"
"Астана, Қазақстан",2023-12-09,-20,-30,-26.1,-21.1,-39.9,-32,-30.2,69.3,0.193,100,4.17,snow,0,2.1,18.7,14.4,21.7,1038.3,14.6,8.4,50.5,4.4,3,,2023-12-09T09:05:22,2023-12-09T17:07:21,0.88,Snow,Clear conditions throughout the day with early morning snow.,snow,"35283099999,35188099999,UACC"
"Астана, Қазақстан",2023-12-10,-19.7,-26.7,-24,-23,-34.7,-30.3,-27.4,74.1,0,0,0,,0,2,19.4,10.8,268.9,1034.9,36.2,9,47.1,4,2,,2023-12-10T09:06:28,2023-12-10T17:07:10,0.91,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"35283099999,35188099999,UACC"
"Астана, Қазақстан",2023-12-11,-23.4,-33,-27.2,-23.4,-48.3,-38.2,-30.4,74.1,0.289,100,4.17,snow,0,2.3,38.9,32.4,43.5,1033.5,70.1,9,41.1,3.6,2,,2023-12-11T09:07:31,2023-12-11T17:07:02,0.94,"Snow, Partially cloudy",Partly cloudy throughout the day with afternoon snow.,snow,"35283099999,35188099999,UACC"
