name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Усть-каменогорск, Қазақстан",2023-12-01,4,0,1.9,0.6,-3.6,-1.4,-1.7,77.9,1.8,100,16.67,"rain,snow",0,7.2,25.9,21.2,144.3,1026.3,92.1,8.8,34.6,3.1,2,,2023-12-01T08:05:26,2023-12-01T16:31:03,0.62,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow clearing later.,rain,"36197099999,UASK,36208099999,35067599999"
"Усть-каменогорск, Қазақстан",2023-12-02,2,0,0.9,-1.1,-4.9,-2.7,-2.8,77,2,100,4.17,"rain,snow",0,5,29.2,21.6,139.3,1026,95.8,9.9,32.4,2.8,2,,2023-12-02T08:06:46,2023-12-02T16:30:29,0.66,"Snow, Rain, Overcast",Cloudy skies throughout the day with afternoon rain or snow.,rain,"36197099999,UASK,36208099999,35067599999"
"Усть-каменогорск, Қазақстан",2023-12-03,6,0.9,3.6,0.9,-3.7,-1.3,-1,72.6,2,100,4.17,"rain,snow",0.2,5.9,66.1,43.2,151.2,1013.6,98.1,10.1,11.8,0.9,1,,2023-12-03T08:08:04,2023-12-03T16:29:59,0.69,"Snow, Rain, Overcast",Cloudy skies throughout the day with early morning snow or rain.,snow,"36197099999,UASK,36208099999,35067599999"
"Усть-каменогорск, Қазақстан",2023-12-04,3.9,-12,-4.6,-0.1,-16.4,-10.2,-7.6,80.1,20,100,8.33,"rain,snow",2.1,3.7,68.4,39.6,267.4,1021.7,97.7,6.6,22.7,1.8,1,,2023-12-04T08:09:20,2023-12-04T16:29:31,0.72,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,snow,"36197099999,UASK,36208099999,35067599999"
"Усть-каменогорск, Қазақстан",2023-12-05,0,-8,-2.8,-6.7,-13.1,-9.1,-5.6,81.4,3,100,4.17,"rain,snow",3.5,5.3,37.8,32.4,118.3,1025.9,100,6.8,11.1,1,1,,2023-12-05T08:10:34,2023-12-05T16:29:06,0.75,"Snow, Rain, Overcast",Cloudy skies throughout the day with early morning snow or rain.,snow,"36197099999,UASK,36208099999,35067599999"
"Усть-каменогорск, Қазақстан",2023-12-06,7,-2,1.7,2.5,-8.5,-3.8,-2.1,76.5,8,100,8.33,"rain,snow",3.1,10.8,68.4,36,149.1,1009.7,95.6,8.8,41.9,3.6,3,,2023-12-06T08:11:47,2023-12-06T16:28:45,0.78,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,snow,"36197099999,UASK,36208099999,35067599999"
"Усть-каменогорск, Қазақстан",2023-12-07,-3,-20,-10.8,-9.8,-27.5,-17.1,-14,77.9,13,100,8.33,snow,0.1,12.3,34.2,28.8,308.9,1023.5,99.1,6.4,39.1,3.4,2,,2023-12-07T08:12:57,2023-12-07T16:28:27,0.82,"Snow, Overcast",Cloudy skies throughout the day with snow.,snow,"36197099999,UASK,36208099999,35067599999"
"Усть-каменогорск, Қазақстан",2023-12-08,-18,-26,-22.5,-18,-32.7,-24.1,-25.4,77.6,0.4,100,4.17,snow,0,14.7,11.9,7.2,57.4,1030.8,80.8,6.3,47,4,2,,2023-12-08T08:14:05,2023-12-08T16:28:11,0.85,"Snow, Partially cloudy",Partly cloudy throughout the day with early morning snow.,snow,"36197099999,UASK,36208099999,35067599999"
"Усть-каменогорск, Қазақстан",2023-12-09,-24,-32,-28.9,-24,-38.6,-30,-32.1,73.4,0,0,0,,0,14.2,9.7,7.2,31.8,1037.1,27.3,9,57.3,4.9,3,,2023-12-09T08:15:11,2023-12-09T16:27:59,0.88,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"36197099999,UASK,36208099999,35067599999"
"Усть-каменогорск, Қазақстан",2023-12-10,-22.9,-31,-27.4,-23,-36.2,-27.9,-30.7,73.2,0,0,0,,0,14.7,10.1,7.2,52,1035.3,75.9,4.4,58.3,5.1,3,,2023-12-10T08:16:15,2023-12-10T16:27:50,0.91,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"36197099999,UASK,36208099999,35067599999"
