name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Астана, Қазақстан",2018-12-01,-13.8,-21,-16.2,-20.3,-32.1,-26.3,-17.9,86.8,0.482,100,4.17,snow,0.6,15.3,43.2,39.6,240.7,1031.8,83.6,5.9,31.4,2.7,1,,2018-12-01T08:55:30,2018-12-01T17:10:36,0.78,"Snow, Partially cloudy",Partly cloudy throughout the day with afternoon snow.,snow,"35283099999,35188099999,UACC"
"Астана, Қазақстан",2018-12-02,-10.8,-16,-13.5,-13,-24.9,-18.9,-14.8,89.8,2.164,100,8.33,snow,0,15.3,21.6,18,230.7,1038,93.2,9,39.4,3.4,2,,2018-12-02T08:56:53,2018-12-02T17:10:00,0.82,"Snow, Overcast",Cloudy skies throughout the day with snow.,snow,"35283099999,35188099999,UACC"
"Астана, Қазақстан",2018-12-03,-10.8,-14,-12.2,-11,-21.2,-17,-14,86.8,0,0,0,,0,15,24.8,18,231.1,1036.4,98.6,9.5,32.1,2.8,2,,2018-12-03T08:58:13,2018-12-03T17:09:27,0.86,Overcast,Cloudy skies throughout the day.,cloudy,"35283099999,35188099999,UACC"
"Астана, Қазақстан",2018-12-04,-7.1,-13,-9.9,-10,-20.7,-14.4,-11.2,90.6,0.193,100,4.17,snow,0,14.9,23.8,21.6,96.4,1040.1,92.8,7.2,40.8,3.4,2,,2018-12-04T08:59:32,2018-12-04T17:08:57,0.89,"Snow, Overcast",Cloudy skies throughout the day with afternoon snow.,snow,"35283099999,35188099999,UACC"
"Астана, Қазақстан",2018-12-05,-10.2,-19,-13.4,-13.3,-26.4,-18.6,-16,81.1,0.096,100,4.17,snow,15,14.9,20.2,14.4,131.9,1038.7,85.6,9.6,39.3,3.5,2,,2018-12-05T09:00:49,2018-12-05T17:08:31,0.93,"Snow, Partially cloudy",Partly cloudy throughout the day with early morning snow.,snow,"35283099999,35188099999,UACC"
"Астана, Қазақстан",2018-12-06,-8.7,-22,-17.4,-8.7,-31.2,-22.8,-20.9,75.3,0,0,0,,0,14.8,13,18,77.9,1033.5,4.5,8.1,53.2,4.4,3,,2018-12-06T09:02:03,2018-12-06T17:08:08,0.96,Clear,Clear conditions throughout the day.,clear-day,"35283099999,35188099999,UACC"
"Астана, Қазақстан",2018-12-07,-9.7,-25,-19.4,-12.8,-33.5,-26.4,-22.9,75.2,0,0,0,,0,14.1,15.1,14.4,80,1029.2,4.6,6.9,53.5,4.6,3,,2018-12-07T09:03:15,2018-12-07T17:07:48,0,Clear,Clear conditions throughout the day.,clear-day,"35283099999,35188099999,UACC"
"Астана, Қазақстан",2018-12-08,-10,-25,-19.8,-16.6,-35,-27.9,-23.2,74.6,0,0,0,,0,13.8,19.1,18,70.4,1026.4,0,9.3,53.6,4.6,3,,2018-12-08T09:04:25,2018-12-08T17:07:31,0.03,Clear,Clear conditions throughout the day.,clear-day,"35283099999,35188099999,UACC"
"Астана, Қазақстан",2018-12-09,-8.8,-19.7,-14.6,-12.7,-28.7,-21.6,-19,69.5,0,0,0,,0,12.9,18,18,84,1024.2,39.7,9.6,51.1,4.3,3,,2018-12-09T09:05:33,2018-12-09T17:07:17,0.06,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"35283099999,35188099999,UACC"
"Астана, Қазақстан",2018-12-10,-5.7,-15,-9.9,-5.7,-21.5,-13.3,-12.4,82.1,0,0,0,snow,0.6,12.8,13.7,10.8,71.7,1022,87.8,7.8,29.9,2.5,2,,2018-12-10T09:06:38,2018-12-10T17:07:07,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"35283099999,35188099999,UACC"
