name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Астана, Қазақстан",2020-12-01,-13.7,-24,-20,-20.5,-33.8,-28.6,-22.5,80.7,0.2,100,8.33,snow,0,19.3,28.8,28.8,65.8,1047.3,85.7,8.9,43.4,3.6,2,,2020-12-01T08:56:14,2020-12-01T17:10:17,0.53,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,snow,"35283099999,35188099999,UACC"
"Астана, Қазақстан",2020-12-02,-10.7,-19.7,-14.4,-18.6,-27.8,-24.2,-17.6,77.1,0,0,0,snow,18.8,18.3,54,36,80.3,1041.9,68.7,9.7,45.9,3.9,2,,2020-12-02T08:57:36,2020-12-02T17:09:43,0.56,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"35283099999,35188099999,UACC,remote"
"Астана, Қазақстан",2020-12-03,-14,-23,-18.3,-21.8,-33.7,-26.9,-21.3,77.1,0,0,0,,0,15.3,29.5,21.6,62.6,1032.6,80,9.2,46.9,4,2,,2020-12-03T08:58:55,2020-12-03T17:09:12,0.6,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"35283099999,35188099999,UACC"
"Астана, Қазақстан",2020-12-04,-19,-27,-22.4,-27.3,-37.5,-32.6,-25.6,75.3,0,0,0,,0,15.7,31.3,25.2,52.1,1030.2,47.6,8.4,43,3.9,2,,2020-12-04T09:00:13,2020-12-04T17:08:44,0.63,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"35283099999,35188099999,UACC"
"Астана, Қазақстан",2020-12-05,-15,-24,-19.9,-22.8,-34.9,-29.7,-22.8,77.8,0,0,0,,0,16.2,32.8,32.4,58.6,1034.8,66.9,9.5,40.7,3.6,2,,2020-12-05T09:01:29,2020-12-05T17:08:19,0.67,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"35283099999,35188099999,UACC"
"Астана, Қазақстан",2020-12-06,-16,-26,-21.7,-21.1,-34.9,-29.5,-24.7,76.9,0.207,100,4.17,snow,0,16.3,27.4,21.6,64.9,1038.7,54,7.6,42.1,3.6,2,,2020-12-06T09:02:42,2020-12-06T17:07:57,0.7,"Snow, Partially cloudy",Partly cloudy throughout the day with early morning snow.,snow,"35283099999,35188099999,UACC"
"Астана, Қазақстан",2020-12-07,-15.7,-28,-22.5,-18,-35.9,-27.1,-25.4,77,0.193,100,4.17,snow,0,16.2,16.6,14.4,279.2,1035.6,66.2,3.7,39.4,3.4,2,,2020-12-07T09:03:53,2020-12-07T17:07:39,0.74,"Snow, Partially cloudy",Partly cloudy throughout the day with afternoon snow.,snow,"35283099999,35188099999,UACC"
"Астана, Қазақстан",2020-12-08,-11,-24,-17.9,-19,-30.4,-25,-20.5,80,0,0,0,,0,16.9,35.3,25.2,217.3,1033,72.7,6.7,40.2,3.4,2,,2020-12-08T09:05:02,2020-12-08T17:07:24,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"35283099999,35188099999,UACC"
"Астана, Қазақстан",2020-12-09,-9.8,-12,-10.6,-14.1,-20.1,-16.7,-12.6,85.8,0.204,100,4.17,snow,0.2,17.1,28.1,25.2,255.4,1029.9,99.5,8.1,26.8,2.2,1,,2020-12-09T09:06:08,2020-12-09T17:07:12,0.81,"Snow, Overcast",Cloudy skies throughout the day with afternoon snow.,snow,"35283099999,35188099999,UACC"
"Астана, Қазақстан",2020-12-10,-6,-10,-8.8,-9.4,-15.5,-13.7,-10,91.2,1.007,100,8.33,snow,17,17.3,22.7,14.4,261,1033,100,7.6,26.6,2.3,1,,2020-12-10T09:07:12,2020-12-10T17:07:03,0.84,"Snow, Overcast",Cloudy skies throughout the day with snow.,snow,"35283099999,35188099999,UACC"
