name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Астана, Қазақстан",2013-12-01,-0.7,-2,-1.4,-4.3,-8.5,-6.5,-2.5,92.4,0.6,100,8.33,"rain,snow",5,1.3,,25.2,302.5,1006.8,97.7,7.1,,,,,2013-12-01T08:55:49,2013-12-01T17:10:28,0.94,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,snow,"35188099999,UACC"
"Астана, Қазақстан",2013-12-02,-2.9,-15,-7.2,-8.9,-21.5,-14.5,-8.9,87.5,12.3,100,8.33,snow,0.1,11.3,,36,230.5,1020.3,90.3,10.2,,,,,2013-12-02T08:57:11,2013-12-02T17:09:53,0.98,"Snow, Overcast",Cloudy skies throughout the day with snow.,snow,"35188099999,UACC"
"Астана, Қазақстан",2013-12-03,0,-12,-3.5,-6.6,-17.9,-10.1,-5.5,86.1,0,0,0,,0,13.4,54,43.2,196.2,1017.5,95.8,10.1,,,,,2013-12-03T08:58:31,2013-12-03T17:09:21,0,Overcast,Cloudy skies throughout the day.,cloudy,"35188099999,UACC"
"Астана, Қазақстан",2013-12-04,2.1,-3,-0.2,-2.2,-8.7,-5.6,-2.4,84.9,0,0,0,rain,0.4,12.2,,32.4,180.4,1005.5,98.4,11.2,,,,,2013-12-04T08:59:49,2013-12-04T17:08:52,0.04,Overcast,Cloudy skies throughout the day.,cloudy,"35188099999,UACC"
"Астана, Қазақстан",2013-12-05,1.9,-10,-4.7,-3.5,-21.1,-14.1,-7.4,81.7,0.8,100,4.17,"rain,snow",0.5,8,90,68.4,229.8,1006.7,97,6.3,,,,,2013-12-05T09:01:05,2013-12-05T17:08:26,0.08,"Snow, Rain, Overcast",Cloudy skies throughout the day with early morning snow or rain.,snow,"35188099999,UACC"
"Астана, Қазақстан",2013-12-06,-4,-10,-6.8,-11.6,-16.7,-14.4,-9.7,80.1,3.5,100,8.33,snow,0,6.4,,39.6,214.1,1024.8,83.5,10,,,,,2013-12-06T09:02:19,2013-12-06T17:08:03,0.11,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,snow,"35188099999,UACC"
"Астана, Қазақстан",2013-12-07,-5.9,-15,-10.4,-10.1,-20.3,-14.8,-12.8,83.1,0.2,100,4.17,snow,0,6.1,,12.6,185.3,1022.8,66.2,10.5,,,,,2013-12-07T09:03:31,2013-12-07T17:07:44,0.15,"Snow, Partially cloudy",Partly cloudy throughout the day with early morning snow.,snow,"35188099999,UACC"
"Астана, Қазақстан",2013-12-08,-7.2,-19,-14.3,-7.2,-22.7,-16.5,-16.1,86.7,0,0,0,,0,6.5,,14.4,90.9,1027.5,78.5,6.2,,,,,2013-12-08T09:04:40,2013-12-08T17:07:28,0.18,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"35188099999,UACC"
"Астана, Қазақстан",2013-12-09,0.1,-14,-6.7,-4.2,-21.5,-11.9,-9.3,82,0,0,0,,0,6.5,,18,135.8,1020.2,92.8,11.4,,,,,2013-12-09T09:05:47,2013-12-09T17:07:15,0.25,Overcast,Cloudy skies throughout the day.,cloudy,"35188099999,UACC"
"Астана, Қазақстан",2013-12-10,1,-2,-0.6,0,-7.6,-5.1,-2.4,87.6,0,0,0,,0,2.9,,28.8,206.6,1016.7,97.9,10.2,,,,,2013-12-10T09:06:52,2013-12-10T17:07:06,0.25,Overcast,Cloudy skies throughout the day.,cloudy,"35188099999,UACC"
"Астана, Қазақстан",2013-12-11,2,-4,-0.7,1,-9.2,-4.9,-2.1,90.3,0.3,100,4.17,"rain,snow",0,5.8,,28.8,83.2,1011.7,93.8,8.5,,,,,2013-12-11T09:07:54,2013-12-11T17:06:59,0.29,"Snow, Rain, Overcast",Cloudy skies throughout the day with afternoon rain or snow.,rain,"35188099999,UACC"
"Астана, Қазақстан",2013-12-12,0.2,-17,-8.7,-3.3,-26.2,-15.7,-10.1,89.8,9,100,8.33,"rain,snow",0.5,12.1,,25.2,275.5,1020.6,82.8,8.1,,,,,2013-12-12T09:08:53,2013-12-12T17:06:57,0.32,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,snow,"35188099999,UACC"
"Астана, Қазақстан",2013-12-13,-6,-20,-11.6,-14.1,-28.9,-19.6,-13.4,86.4,0,0,0,snow,13,13.1,,36,213.4,1026.6,65.3,11.4,,,,,2013-12-13T09:09:50,2013-12-13T17:06:57,0.36,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"35188099999,UACC"
"Астана, Қазақстан",2013-12-14,-1,-9,-5.4,-7.6,-16.9,-12.9,-8.2,81.2,0,0,0,,0,12.1,,36,186.1,1018.5,63.1,12.5,,,,,2013-12-14T09:10:44,2013-12-14T17:07:01,0.39,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"35188099999,UACC"
"Астана, Қазақстан",2013-12-15,1,-5,-2.3,-3.7,-10.4,-7.5,-3.9,88.9,3,100,4.17,"rain,snow",0.4,13.2,,36,211.7,1004.6,100,8.1,,,,,2013-12-15T09:11:35,2013-12-15T17:07:09,0.43,"Snow, Rain, Overcast",Cloudy skies throughout the day with afternoon rain or snow.,snow,"35188099999,UACC"
"Астана, Қазақстан",2013-12-16,-3,-12,-8,-9.8,-23.4,-16.5,-10.4,82.8,1,100,4.17,snow,0.2,13.7,57.6,39.6,214.6,1010.1,91,8.7,,,,,2013-12-16T09:12:24,2013-12-16T17:07:19,0.46,"Snow, Overcast",Cloudy skies throughout the day with afternoon snow.,snow,"35188099999,UACC"
"Астана, Қазақстан",2013-12-17,-11,-17,-12.2,-20.4,-29,-22.4,-14.8,80.7,0.4,100,8.33,snow,0,13.1,,39.6,218.8,1020.7,85.8,5.8,,,,,2013-12-17T09:13:09,2013-12-17T17:07:33,0.5,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,snow,"35188099999,UACC"
"Астана, Қазақстан",2013-12-18,-10,-20,-17.3,-21.8,-31,-28.7,-20.1,78.8,0.8,100,8.33,snow,0,12.3,,50.4,213.7,1024.1,81.8,8.2,,,,,2013-12-18T09:13:51,2013-12-18T17:07:51,0.53,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,snow,"35188099999,UACC"
"Астана, Қазақстан",2013-12-19,-3,-10,-6.9,-11,-23,-17.5,-8.1,91.5,3,100,4.17,snow,2.4,15.1,86.4,68.4,214,1013.1,100,1.4,,,,,2013-12-19T09:14:31,2013-12-19T17:08:12,0.56,"Snow, Overcast",Cloudy skies throughout the day with afternoon snow.,snow,"35188099999,UACC"
"Астана, Қазақстан",2013-12-20,-2.8,-6,-3.9,-9.3,-13.7,-11.1,-5.3,89.9,2.9,100,8.33,snow,0,15.2,,36,219.2,1013,95.1,8.4,,,,,2013-12-20T09:15:07,2013-12-20T17:08:36,0.59,"Snow, Overcast",Cloudy skies throughout the day with snow.,snow,"35188099999,UACC"
"Астана, Қазақстан",2013-12-21,-4.7,-22,-15.2,-10.5,-30.1,-22.6,-17.5,82.5,1.2,100,8.33,snow,0.8,15.3,,25.2,301.3,1018.9,99.5,7.9,,,,,2013-12-21T09:15:40,2013-12-21T17:09:03,0.63,"Snow, Overcast",Cloudy skies throughout the day with snow.,snow,"35188099999,UACC"
"Астана, Қазақстан",2013-12-22,-23.2,-31,-28.5,-29.4,-43.7,-37.9,-31.9,72.5,0.7,100,8.33,snow,0,14.2,,18,220.3,1036.6,63.2,9.8,,,,,2013-12-22T09:16:10,2013-12-22T17:09:33,0.66,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,snow,"35188099999,UACC"
"Астана, Қазақстан",2013-12-23,-17,-31,-24.2,-26.5,-42.4,-33.3,-27.5,74.2,0,0,0,,0,15.3,,25.2,171.7,1035.9,72.7,11.6,,,,,2013-12-23T09:16:37,2013-12-23T17:10:07,0.69,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"35188099999,UACC,remote"
