name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Астана, Қазақстан",2022-12-01,-13.3,-20,-17,-21.8,-32.9,-28.4,-22.3,63.9,0,0,0,,0,13.1,54,39.6,63,1029,96.8,10,44.6,3.9,2,,2022-12-01T08:55:36,2022-12-01T17:10:36,0.26,Overcast,Cloudy skies throughout the day.,cloudy,"35283099999,35188099999,UACC"
"Астана, Қазақстан",2022-12-02,-16,-21.8,-18.7,-23.8,-33.7,-29.2,-22.6,71.3,0,0,0,,0,13,38.2,32.4,59.7,1036.6,41.7,10,56.1,4.9,3,,2022-12-02T08:56:58,2022-12-02T17:10:00,0.29,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"35283099999,35188099999,UACC"
"Астана, Қазақстан",2022-12-03,-16.4,-22.3,-19.2,-21.5,-32.9,-29.6,-22,78.5,0,0,0,,0,13.5,39.2,32.4,51.2,1036.9,56.9,8.8,37.4,3.1,2,,2022-12-03T08:58:19,2022-12-03T17:09:27,0.33,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"35283099999,35188099999,UACC"
"Астана, Қазақстан",2022-12-04,-18,-25,-19.8,-19.3,-31.6,-27.6,-22.8,77.5,0.819,100,4.17,snow,0,13.2,32.4,28.8,29.9,1032.6,84.9,6.4,42.7,3.7,2,,2022-12-04T08:59:37,2022-12-04T17:08:57,0.36,"Snow, Partially cloudy",Partly cloudy throughout the day with afternoon snow.,snow,"35283099999,35188099999,UACC"
"Астана, Қазақстан",2022-12-05,-21.4,-30,-26,-21.4,-36.2,-29.5,-28.8,77.3,0.029,100,4.17,snow,0,13,13.3,7.2,182.5,1036.8,42.7,8.4,46.8,4,2,,2022-12-05T09:00:54,2022-12-05T17:08:31,0.4,"Snow, Partially cloudy",Partly cloudy throughout the day with early morning snow.,snow,"35283099999,35188099999,UACC"
"Астана, Қазақстан",2022-12-06,-19,-30,-25.6,-19,-39.5,-29.6,-29.2,72.5,0,0,0,,0,12.9,12.6,10.8,83.2,1038.3,45.2,5.2,46.3,4,2,,2022-12-06T09:02:08,2022-12-06T17:08:08,0.43,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"35283099999,35188099999,UACC"
"Астана, Қазақстан",2022-12-07,-20.4,-30,-26.4,-24.9,-41.1,-33.9,-29.9,72.4,0,0,0,,0,13,14.8,14.4,77.1,1036.1,23.3,5.1,51,4.4,3,,2022-12-07T09:03:20,2022-12-07T17:07:48,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"35283099999,35188099999,UACC"
"Астана, Қазақстан",2022-12-08,-18.8,-30,-25.4,-20,-39.5,-30.7,-28.5,75,0,0,0,,0,12.9,12.6,10.8,58.4,1033,38.4,5.3,44.4,3.9,2,,2022-12-08T09:04:30,2022-12-08T17:07:31,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"35283099999,35188099999,UACC"
"Астана, Қазақстан",2022-12-09,-22.3,-29,-25.5,-25,-38.3,-33.2,-28.7,74.2,0.207,100,4.17,snow,0,12.9,23.4,18,213.1,1033.4,84,4.4,34.7,3.1,2,,2022-12-09T09:05:37,2022-12-09T17:07:18,0.54,"Snow, Partially cloudy",Partly cloudy throughout the day with afternoon snow.,snow,"35283099999,35188099999,UACC"
"Астана, Қазақстан",2022-12-10,-16,-22,-18.7,-17,-32.4,-27.3,-21.7,77.5,0.307,100,4.17,snow,0,13.2,27.4,21.6,226.1,1038.3,59.6,9.5,51,4.4,3,,2022-12-10T09:06:43,2022-12-10T17:07:07,0.57,"Snow, Partially cloudy",Partly cloudy throughout the day with afternoon snow.,snow,"35283099999,35188099999,UACC"
"Астана, Қазақстан",2022-12-11,-17,-24,-21.2,-24.5,-33.8,-29.1,-24.5,74.4,0,0,0,,0,13.4,29.2,14.4,194,1041.9,76.1,9.9,49.3,4.3,2,,2022-12-11T09:07:45,2022-12-11T17:07:01,0.6,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"35283099999,35188099999,UACC"
"Астана, Қазақстан",2022-12-12,-12,-25,-19.2,-20.7,-33.5,-26.6,-23.5,69.4,0,0,0,,0,13.1,33.8,25.2,205.7,1037.5,79.1,10,43.9,3.9,2,,2022-12-12T09:08:45,2022-12-12T17:06:57,0.63,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"35283099999,35188099999,UACC"
"Астана, Қазақстан",2022-12-13,-10.6,-16,-11.9,-15.6,-24,-19.2,-16.7,68.1,0,0,0,,0,12.8,34.9,25.2,246.9,1032.6,80.2,10,47.8,4.2,2,,2022-12-13T09:09:42,2022-12-13T17:06:57,0.67,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"35283099999,35188099999,UACC"
"Астана, Қазақстан",2022-12-14,-11.1,-23,-18.4,-15.8,-35.5,-26.7,-21.4,77.1,0,0,0,,0,12.7,28.1,25.2,66.2,1039.1,38.4,9.1,49.1,4.4,3,,2022-12-14T09:10:37,2022-12-14T17:07:01,0.7,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"35283099999,35188099999,UACC"
"Астана, Қазақстан",2022-12-15,-13.1,-25,-19.7,-14.7,-35.9,-27.6,-24.2,68,0,0,0,,0,12.8,24.1,25.2,97.3,1040.1,0,9.8,50.6,4.4,3,,2022-12-15T09:11:29,2022-12-15T17:07:07,0.73,Clear,Clear conditions throughout the day.,clear-day,"35283099999,35188099999,UACC"
"Астана, Қазақстан",2022-12-16,-10.4,-24,-18.2,-10.4,-35,-25.1,-23.3,65,0,0,0,,0,12.9,14,18,78.6,1033.9,24.5,8.1,50.5,4.4,3,,2022-12-16T09:12:17,2022-12-16T17:07:17,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"35283099999,35188099999,UACC"
"Астана, Қазақстан",2022-12-17,-12.3,-22,-18.1,-16.5,-28.7,-22.9,-22.3,70.3,0,0,0,,0,13,15.8,10.8,266.8,1029.4,18.7,7.1,49.5,4.4,3,,2022-12-17T09:13:03,2022-12-17T17:07:31,0.8,Clear,Clear conditions throughout the day.,clear-day,"35283099999,35188099999,UACC"
"Астана, Қазақстан",2022-12-18,-11,-18,-14.9,-12.5,-25.1,-19.8,-18.4,75,0,0,0,,0,13.1,21.6,14.4,188.1,1036.5,83.2,9.8,28.4,2.4,1,,2022-12-18T09:13:46,2022-12-18T17:07:48,0.83,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"35283099999,35188099999,UACC"
