name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Астана, Қазақстан",2015-12-01,-0.8,-11,-6.7,-2.6,-16.7,-10.8,-8.6,86.6,0,0,0,snow,6,6.2,15.1,10.8,164.7,1028.4,12.3,10,51,4.3,2,,2015-12-01T08:55:08,2015-12-01T17:10:46,0.67,Clear,Clear conditions throughout the day.,clear-day,"35188099999,UACC"
"Астана, Қазақстан",2015-12-02,0.1,-11,-5.9,-1,-16.7,-9.5,-8.3,83.6,0,0,0,,0,6,16.6,10.8,124.3,1024,62.8,9.9,48.9,4.2,2,,2015-12-02T08:56:30,2015-12-02T17:10:10,0.7,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"35188099999,UACC"
"Астана, Қазақстан",2015-12-03,0.2,-10,-5.2,-2.2,-16.6,-8.8,-7.6,83.9,0,0,0,,0,6.3,20.2,14.4,124.9,1020.3,74,10,43.8,3.8,2,,2015-12-03T08:57:52,2015-12-03T17:09:36,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"35188099999,UACC"
"Астана, Қазақстан",2015-12-04,1.4,0,0.9,-1.5,-4.9,-3.4,0.1,94.3,0.4,100,4.17,"rain,snow",0,5.4,25.9,21.6,208.3,1013.1,99.3,6.3,16.2,1.4,1,,2015-12-04T08:59:11,2015-12-04T17:09:05,0.77,"Snow, Rain, Overcast",Cloudy skies throughout the day with afternoon rain or snow.,rain,"35188099999,UACC"
"Астана, Қазақстан",2015-12-05,-1.5,-7,-4,-6.4,-12.9,-9.3,-5.5,89.1,0.1,100,4.17,"rain,snow",0,4.1,29.2,21.6,261.7,1010.6,99.1,8.4,22,1.9,1,,2015-12-05T09:00:28,2015-12-05T17:08:38,0.8,"Snow, Rain, Overcast",Cloudy skies throughout the day with early morning snow or rain.,snow,"35188099999,UACC"
"Астана, Қазақстан",2015-12-06,-4,-9,-5.5,-9.9,-15.3,-12,-7.2,88.1,0.4,100,8.33,snow,0,4.2,35.3,28.8,231.9,1017.8,98,7.9,29,2.6,1,,2015-12-06T09:01:43,2015-12-06T17:08:14,0.83,"Snow, Overcast",Cloudy skies throughout the day with snow.,snow,"35188099999,UACC"
"Астана, Қазақстан",2015-12-07,-2,-4,-3.1,-8.7,-12.3,-10.5,-4.6,89.1,1.5,100,8.33,"rain,snow",0.7,5.9,54,39.6,213.2,1015.3,98.8,5.3,23.9,2,1,,2015-12-07T09:02:56,2015-12-07T17:07:53,0.86,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,snow,"35188099999,UACC"
"Астана, Қазақстан",2015-12-08,1.1,-2,-0.4,-5.5,-10.9,-8.4,-1.7,91.2,1.3,100,8.33,"rain,snow",2.1,5.9,81,64.8,212.4,995.1,100,5.4,12.2,1,1,,2015-12-08T09:04:06,2015-12-08T17:07:35,0.9,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,snow,"35188099999,UACC"
"Астана, Қазақстан",2015-12-09,1,-3,-0.7,-6.3,-9.8,-7.9,-3.2,83.6,2,100,8.33,"rain,snow",0.2,6.8,68.4,50.4,226.9,997,95.4,8,36.9,3.3,2,,2015-12-09T09:05:14,2015-12-09T17:07:21,0.93,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,snow,"35188099999,UACC"
"Астана, Қазақстан",2015-12-10,-4,-9,-6,-9.2,-17.5,-12.7,-7.6,88,0.1,100,4.17,snow,7,7.2,38.5,28.8,249.5,1015.3,95.4,9,29.7,2.5,1,,2015-12-10T09:06:20,2015-12-10T17:07:10,0.96,"Snow, Overcast",Cloudy skies throughout the day with early morning snow.,snow,"35188099999,UACC"
